"Género","Edad","Semestre","Carrera","Horas_de_clase_al_día ","Horas_de_estudio_fuera_de_clase","Frecuencias_de_tareas/proyectos","Trabajas_además_de_estudiar","Actividad_fÍsica","Horas_de_redes_sociales","Dispositivos_antes_de_dormir","Hora_de_dormir","Hora_de_despertar","Horas_de_sueño","Descansas_al_despertar","Dificultad_para_dormir","Calidad_del_sueño"
"Hombre","20","5","IGE","4","4","Siempre","Medio tiempo","3-4 dias","3","30 min.","10:00:00 PM","6:00:00 AM","7.5","Casi siempre","Rara vez","4"
"Hombre","21","7","IGE","5","2","Algunas veces","Medio tiempo","3-4 dias","4","30 min.","11:00:00 PM","6:00:00 AM","5","Rara vez","Algunas veces","3"
"Mujer","19","5","IGE","4","1","Frecuentemente","No","3-4 dias","5","1h","10:30:00 PM","6:00:00 AM","5.5","Rara vez","Algunas veces","3"
"Mujer","23","6","INDUSTRIAL","5","3","Rara vez","Medio tiempo","3-4 dias","3","45 min.","12:00:00 AM","7:00:00 AM","6.4","Rara vez","Rara vez","4"
"Mujer","20","5","TICS","7","2","Frecuentemente","Medio tiempo","Nunca","6","30 min.","1:00:00 PM","7:00:00 AM","5.3","Casi siempre","Rara vez","3"
"Hombre","21","8","TICS","4","2.5","Frecuentemente","Medio tiempo","3-4 dias","3","1 h","12:30:00 AM","6:15:00 AM","5","Casi siempre","Rara vez","4"
"Hombre","20","5","INDUSTRIAL","5","1","Algunas veces","Ocasionalmente","5 dias","5","1 h","2:00:00 AM","7:20:00 AM","5.5","Siempre","Nunca","4"
"Hombre","24","4","INDUSTRIAL","8","1","Algunas veces","Medio tiempo","1-2 dias","4","30 min.","1:30:00 AM","6:30:00 AM","5.3","Rara vez","Frecuentemente","3"
"Hombre","21","6","IGE","5","2.5","Algunas veces","Medio tiempo","3-4 dias","2","40 min.","11:15:00 PM","7:30:00 AM","6","Casi siempre","Frecuentemente","3"
"Hombre","20","5","ELECTRICA","6","1","Frecuentemente","Medio tiempo","1-2 dias","3","35 min.","10:00:00 PM","6:00:00 AM","4.5","Rara vez","Frecuentemente","4"
"Hombre","22","8","INDUSTRIAL","3","2","Rara vez","Ocasionalmente","Nunca","6","35 min.","12:00:00 AM","7:40:00 AM","6.5","Rara vez","Algunas veces","3"
"Hombre","20","6","TICS","8","2","Frecuentemente","Ocasionalmente","Nunca","6","1 h","10:15:00 PM","6:20:00 AM","5.5","Rara vez","Algunas veces","3"
"Hombre","19","4","LA","5","1","Rara vez","Medio tiempo","3-4 dias","6","1 h","11:40:00 PM","7:10:00 AM","7","Casi siempre","Algunas veces","4"
"Mujer","22","8","ELECTRICA ","4","1","Rara vez","Ocasionalmente","3-4 dias","3","50 min.","10:00:00 PM","7:30:00 AM","5.5","Casi siempre","Rara vez","3"
"Mujer","19","4","LA","6","3","Algunas veces","Medio tiempo","1-2 dias","5","30 min.","12:15:00 AM","8:00:00 AM","8","Siempre","Rara vez","4"
"Mujer","20","5","IGE","7","3","Frecuentemente","Ocasionalmente","5 dias","3","35 min.","10:30:00 PM","8:10:00 AM","8","Nunca","Algunas veces","5"
"Mujer","19","4","INDUSTRIAL","7","2.5","Frecuentemente","Medio tiempo","5 dias","6","45 min.","11:20:00 PM","8:00:00 AM","7.5","Casi siempre","Algunas veces","4"
"Mujer","20","5","TICS","8","1.5","Frecuentemente","No","3-4 dias","5","55 min.","10:30:00 PM","6:00:00 AM","5.5","Siempre","Nunca","5"
"Mujer","21","8","IGE","5","1.5","Algunas veces","Medio tiempo","3-4 dias","4","40 min.","11:00:00 PM","6:10:00 AM","6","Casi siempre","Algunas veces","3"
"Hombre","21","7","INDUSTRIAL","5","2.5","Algunas veces","Medio tiempo","5 dias","5","1 h","11:00:00 PM","8:15:00 AM","6.5","Casi siempre","Algunas veces","3"
"Hombre","21","6","IGE","3","1","Algunas veces","Tiempo completo","1-2 dias","2","35 min.","2:00:00 AM","8:00:00 AM","4.5","Rara vez","Rara vez","2"
"Hombre","20","6","IGE","4","2.5","Nunca","No","1-2 dias","3","30 min.","12:00:00 AM","6:40:00 AM","6.3","Rara vez","Rara vez","3"
"Mujer","20","5","IGE","3","4","Siempre","No","3-4 dias","3","50 min.","11:00:00 PM","7:40:00 AM","8","Casi siempre","Algunas veces","4"
"Hombre","22","7","IGE","5","4","Algunas veces","Ocasionalmente","3-4 dias","6","30 min.","10:00:00 PM","6:10:00 AM","5.6","Casi siempre","Rara vez","4"
